Compound,CAS,inchikey,pretty_name
Nerol,106-25-2,NA,NA
Nerolidol<E->,142-50-7,FQTLCLSUCSAZDY-SDNWHVSQSA-N,trans-Nerolidol
o-Xylene,95-47-6,CTQNGGLPUBDAKN-UHFFFAOYSA-N,O-XYLENE
"Octane, 4-methyl-",2216-34-4,DOGIHOCMZJUJNR-UHFFFAOYSA-N,4-methyl-octane
Octen-3-ol<1->,3391-86-4,VSMOENVRRABVKN-UHFFFAOYSA-N,1-OCTEN-3-OL
p-Cymen-8-ol,1197-01-9,XLPDVYGDNRIQFV-UHFFFAOYSA-N,p-Cymen-8-ol
"Pentanal, 2-methyl-",123-15-9,FTZILAQGHINQQR-UHFFFAOYSA-N,2-Methylpentanal
"Pentanoic acid, 2-ethylhexyl ester",5451-87-6,ZTWCNFGTSPQNPG-UHFFFAOYSA-N,5-amino-1-(4-chlorophenyl)-1h-pyrazole-4-carboxamide
Pentenol<2Z->,1576-95-0,NA,NA
Phellandrene<alpha->,99-83-2,OGLDWXZKYODSOB-UHFFFAOYSA-N,ALPHA-PHELLANDRENE
"Phenol, 2-methoxy-",90-05-1,LHGVFZTZFXWLCP-UHFFFAOYSA-N,guaiacol
"Phenol, 2-methoxy-4-(1-propenyl)-",97-54-1,BJIOGJUNALELMI-ONEGZZNKSA-N,Isoeugenol
"Phenol, 4-ethyl-2-methoxy-",2785-89-9,CHWNEIVBYREQRF-UHFFFAOYSA-N,p-Ethylguaiacol
"Phenol<2,6-dimethoxy->",91-10-1,KLIDCXVFHGNTTM-UHFFFAOYSA-N,Syringol
Phenylethyl acetate,103-45-7,DULCUDSUACXJJC-UHFFFAOYSA-N,ETHYL PHENYLACETATE
Pinene<alpha->,80-56-8,GRWFGVWFFZKLTI-UHFFFAOYSA-N,ALPHA-PINENE
"Propanoic acid, 2-methyl-, 2,2-dimethyl-1-(2-hydroxy-1-methylethyl)propyl ester",74367-33-2,YXISVHDWGVMPGJ-UHFFFAOYSA-N,"(1-hydroxy-2,4,4-trimethylpentan-3-yl) 2-methylpropanoate"
Pyrethrone,22610-79-3,GBEJULSURQZDNX-PLNGDYQASA-N,Pyrethrone
Quinoline,91-22-5,LBUJPTNKIBCYBY-UHFFFAOYSA-N,"1,2,3,4-Tetrahydroquinoline"
"Quinoline, 5-methyl-",7661-55-4,LMYVCXSKCQSIEQ-UHFFFAOYSA-N,5-Methylquinoline
Safrole,94-59-7,ZMQAAUBTXCXRIC-UHFFFAOYSA-N,safrole
Salicylate<2-ethylhexyl->,118-60-5,FMRHJJZUHUTGKE-UHFFFAOYSA-N,2-ETHYLHEXYL SALICYLATE
Styrene,100-42-5,PPBRXRYQALVLMV-UHFFFAOYSA-N,STYRENE
Terpinen-4-ol,562-74-3,WRYLYDPHFGVWKC-UHFFFAOYSA-N,4-Terpineol
Terpinene<alpha->,99-86-5,YHQGMYUVUMAZJR-UHFFFAOYSA-N,ALPHA-TERPINENE
Terpinolene,586-62-9,MOYAFQVGZZPNRA-UHFFFAOYSA-N,TERPINOLENE
Tetradecanol<N->,112-72-1,AHISYUZBWDSPQL-UHFFFAOYSA-N,6-Methyl-2-pyridinecarboxaldehyde
Undecanal,112-44-7,KMPQYAYAQWNLME-UHFFFAOYSA-N,n-Undecanal
Undecanoic acid,112-37-8,ZDPHROOEEOARMN-UHFFFAOYSA-N,n-Undecanoic acid
Viridene,83327-43-9,NA,NA
Z-Jasmone,488-10-8,NA,NA
